id	flag	first_pos	second_pos	length	quality
2aba3c2f-4bb1-4451-93df-c01dff86bb3c	177	554263	579865	20427	27M1I184M4I109M3D5M1D18M1D27M2D173M1I82M1I107M1D11M7D4M3I34M1D309M1D12M1I6M1I46M1I1M4D37M2D16M1I118M2I8M1D108M1I14M1I96M1I7M2D187M5I114M2I69M2I137M3I62M1D20M2D131M1D242M3D61M1D16M1I64M2D9M1D35M6D296M1I114M2D130M1D39M1D54M1I48M1D31M1I100M1I50M1I13M2I2M1D60M2I51M1I43M1I99M1D48M2D106M1I50M3D19M1I29M2I33M1D33M1D22M3I7M1I29M1I38M1I8M1I54M2I31M1D6M1D6M2D5M1I52M1I75M2D28M1D22M1I11M1D57M2D3M1I13M4D16M2I183M4D3M7I38M1D66M1D58M1D29M3D153M1D64M2D1M6I129M2I3M4D22M2I21M1I56M1D30M1I13M1I9M1I42M1I168M2D15M1D109M3D2M2I40M2I82M1D79M4I266M4I14M1I2M5D109M1I1M3D4M1D51M1D52M2D4M1I127M1D38M1D10M4I62M3I29M1I23M1I3M4D25M4I108M1D5M1D16M2D24M1I15M1D6M1I60M4I29M1D17M2D35M1D185M1D2M1D13M1I40M1D3M2I26M1D95M4D4M2I34M2D3M1D7M2D6M1D9M8D3M3D16M2D2M5I2M4D11M6D6M1D13M23D10M12I3M2I10M3D133M1D11M2D7M1D18M2D6M3D86M1I278M1I8M1D46M3D88M1I205M1D106M1I34M1I4M2I58M2D70M1I2M5D109M1I7M1D73M1D32M4I1M5D47M1D31M1D30M1D16M2D65M1D72M2I10M2D8M1D78M1I12M1D4M1D28M1I9M4I26M1I10M2D28M2I3M2I19M1D92M2I3M1D22M4D5M1D34M1I4M4D31M2D193M5I92M1D46M3I13M1D18M1I88M1D22M1D13M1D212M1D155M1I13M4D69M1D22M4D207M1I53M1I38M3I106M2D126M1I17M1I15M3I25M3D16M2I51M1D5M1I130M1I42M1I33M2D39M1D203M1I85M1D118M1D299M1I10M1D8M2I22M1D9M2D114M1I23M1I22M1I109M1D29M1D9M1I9M1D6M1D61M1I14M1I71M4I3M2D58M1D24M1D4M2D57M1D15M3I8M2D26M1I100M3D33M1D7M2D5M1D71M1D13M1D28M1I145M2D2M1I13M1D35M1I75M1D11M3I133M1I4M2I5M1D5M3D119M1D50M3D6M1I3M4D19M3D63M1D11M1D49M2D3M1I36M1I4M1I151M2D102M1I133M2D14M3I83M1D9M1D3M1D163M5I8M3D64M1I113M3I12M1D29M1I9M1I9M1I18M1D8M1D112M2I8M1I324M1I25M1D127M1I6M1D6M1I70M4I6M9D9M3D3M2I28M3D2M1I6M1D15M1D28M1I69M3D20M1I3M1D127M1D11M1D36M3D5M2I51M3D22M1D61M1I54M2D3M1D26M1D67M1I24M1I19M1D82M1I13M2I249M1D11M1I85M1I55M7550S
2aba3c2f-4bb1-4451-93df-c01dff86bb3c	2225	575822	579865	15864	21442H26M3D28M1D11M1D48M1D8M1D22M2I54M1D3M2I41M3009H
1115356b-2d63-4551-97cc-ec6a5515d36e	113	4327743	4322444	-4702	184M1D324M1D22M2D5M1D367M1D32M1D323M3I154M1D109M1I414M1D4M2D18M1D39M1D84M1D123M2D10M1I412M3D446M1I454M2D43M3D7M1I5M1I5M3D26M2I8M1D5M1I26M1I8M1D23M3D35M1D53M1D162M12S
1115356b-2d63-4551-97cc-ec6a5515d36e	177	4322444	4327743	4702	24S97M2D90M1D18M1D22M1D367M1D349M2I33M3D8M1D496M1D31M1D47M3I203M1I105M2D141M4D194M1D407M2D354M1D13M1I24M8D222M1D143M1D30M4D6M1I37M1D362M1D358M3D124M2D110M1D127M
c1625f43-5bb2-4a55-9704-44d6779132a5	69	2303883	2303883	0	*
c1625f43-5bb2-4a55-9704-44d6779132a5	137	2303883	2303883	0	228M3D73M3D27M1I182M3D60M3D143M39S
42ee2c81-3fe4-40ed-90c4-df29ebfa56f9	65	2300325	2303883	3559	684M1D36M1I221M1D3M1D67M2I396M3I671M1D8M1I28M2D144M1D28M1I100M1I9M1D114M
42ee2c81-3fe4-40ed-90c4-df29ebfa56f9	129	2303883	2300325	-3559	93M2D121M1D10M1D46M1D212M2D19M1D28M1D41M3D13M1D142M1I149M1I116M2D2M4I9M1I4M3D76M1D33M2I98M3I5M2D1M1I4M2D213M3I3M7D199M1I13M1D104M2I92M2D67M3D7M1D19M3I85M3D11M2D34M1D123M1I9M1I3M1I53M4D21M3D2M1D318M1I59M4I8M1I49M2D10M4D130M2D22M2D6M1I5M1I11M1I33M2I4M2D94M1D122M3D10M1D13M5D10M3D9M1D31M2I5M1I34M2D14M2D21M2D51M1D3M2I13M2I1M1D4M3D12M2I2M1I83M3I17M3D8M1I167M2D3M2D164M1I41M4D278M1D13M1I39M1D58M2D4M1I11M1D45M2D7M1D16M8D9M1D13M1D46M2D75M1D256M5I4M4D106M3D26M1D220M3I5M1I17M1I6M1D115M10D4M5I12M2I6M4D2M2I10M1D4M4D2M2I3M1I11M3I5M1D3M3D11M1D88M1I27M1D5M1D15M1I89M1I1M3D8M3D9M4D3M1I210M1I31M2I243M7D1M3I27M4I231M2D14M3D89M8D3M4I70M1D131M1D90M14D322M3I245M2I401M1I181M7S
00f9682d-3719-4b9b-99e9-7fab58e73510	117	4326934	4326934	0	*
00f9682d-3719-4b9b-99e9-7fab58e73510	185	4326934	4326934	0	72M
